from,to,relationship
Lohuis,S65,1
Lohuis,TTPA,1
Lohuis,EA,1
Lohuis,CA,1
Lohuis,USCM,1
Lohuis,NLD,2
Todorova,RCC,1
Todorova,VLC,1
Todorova,VZ,1
Todorova,LCVB,1
Todorova,SP,1
Todorova,VCM,1
Todorova,BGR,2
Timmerman,TTPA,1
Timmerman,AA,1
Timmerman,ET,1
Timmerman,LBA,1
Timmerman,NLD,2
Kohn,VfBU,1
Kohn,OSPS,1
Kohn,BSPS,1
Kohn,DEU,2
Vyver,AK,1
Vyver,RCC,1
Vyver,IBF,1
Vyver,CL,1
Vyver,RRV,1
Vyver,CSMT,1
Vyver,BEL,2
Nowicka,GBL,1
Nowicka,BKSB,1
Nowicka,KSPB,1
Nowicka,SMS,1
Nowicka,POL,2
Lee,AQUA,1
Lee,BLD,1
Lee,IMOCO,1
Lee,PSU,1
Lee,USA,2
Palleres,VMB,1
Palleres,SCD,1
Palleres,CGV,1
Palleres,SM,1
Palleres,TR,1
Palleres,HO,1
Palleres,CVB,1
Palleres,ESP,2
Jasper,VfBS,1
Jasper,VCS,1
Jasper,NLD,2
Dornheim,BSPS,1
Dornheim,DEU,2
Rivers,UA,1
Rivers,BA,1
Rivers,LUB,1
Rivers,USA,2
Berger,TUEMO,1
Berger,BSPS,1
Berger,VCOB,1
Berger,DEU,2
Koskelo,BRANIK,1
Koskelo,LPV,1
Koskelo,LPK,1
Koskelo,HLPK,1
Koskelo,KIMMO,1
Koskelo,SOPA,1
Koskelo,FIN,2
Grundt,BSPS,1
Grundt,DEU,2