id,name,type,birth,age,position,country
Lohuis,Juliet Lohuis,0,1996,3,1,2
Todorova,Mira Todorova,0,1994,4,1,3
Timmerman,Eline Timmerman,0,1998,2,1,2
Kohn,Hannah Kohn,0,2003,1,2,1
Vyver,Ilka Van de Vyver,0,1993,4,2,4
Nowicka,Julia Nowicka,0,1998,2,2,5
Lee,Simone Lee,0,1996,3,3,6
Palleres,Maria Segura Palleres,0,1992,4,3,7
Jasper,Hester Jasper,0,2001,2,3,2
Dornheim,Helena Dornheim,0,2004,1,3,1
Rivers,Krystal Rivers,0,1994,4,4,6
Berger,Lara Berger,0,2001,1,4,1
Koskelo,Roosa Koskelo,0,1991,4,5,8
Grundt,Lena Grundt,0,2004,1,5,1
S65,Set-up 65,1,,,,
TTPA,Talent Team Papendal,1,,,,
EA,Eurosped Almelo,1,,,,
CA,Coolen Alterno,1,,,,
USCM,USC Münster,1,,,,
NLD,Niederlande,1,,,,
RCC,RC Cannes,1,,,,
VLC,Volero Le Cannet,1,,,,
VZ,Volero Zürich,1,,,,
LCVB,Le Cannet Volley Ball,1,,,,
SP,Sm'Aesch Pfeffingen,1,,,,
VCM,VC Maritza,1,,,,
BGR,Bulgarien,1,,,,
AA,Alterno Apeldoorn,1,,,,
ET,Eurosped Twente,1,,,,
LBA,Ladies in Black Aachen,1,,,,
VfBU,VfB Ulm,1,,,,
OSPS,Olympiastützpunkt Stuttgart,1,,,,
BSPS,Bundesstützpunkt Stuttgart,1,,,,
DEU,Deutschland,1,,,,
AK,Asterix Kieldrecht,1,,,,
IBF,Il Bisonte Firenze,1,,,,
CL,Calcit Ljubljana,1,,,,
RRV,Rote Raben Vilsbiburg,1,,,,
CSMT,CSM Targoviste,1,,,,
BEL,Belgien,1,,,,
GBL,Grot Budowlani Lodz,1,,,,
BKSB,BKS Profi Credit Bielsko-Biala,1,,,,
KSPB,KS Palac Bydgoszcz U20,1,,,,
SMS,SMS PZPS Szczyrk,1,,,,
POL,Polen,1,,,,
AQUA,Kurobe AquaFairies,1,,,,
BLD,Beylikduzu,1,,,,
IMOCO,Imoco Volley Conegliano,1,,,,
PSU,Penn State University,1,,,,
USA,Vereinigte Staaten von Amerika,1,,,,
VMB,Banca Valsabbina Millenium Brescia,1,,,,
SCD,Dresdner SC 1898,1,,,,
CGV,Bosca San Bernardo Cuneo,1,,,,
SM,Saugella Team Monza,1,,,,
TR,Delta Informatica Trentino,1,,,,
HO,Geovillage Hermaea Olbia,1,,,,
CVB,CV Barcelona,1,,,,
ESP,Spanien,1,,,,
VfBS,VfB Suhl Lotto Thüringen,1,,,,
VCS,VC Sneek,1,,,,
UA,University of Alabama,1,,,,
BA,Beziers Angels,1,,,,
LUB,Luka Bar,1,,,,
TUEMO,FV Tübinger Modell,1,,,,
VCOB,VCO Berlin,1,,,,
BRANIK,OK Nova KBM Branik,1,,,,
LPV,LP Viesti,1,,,,
LPK,LP Kangasala,1,,,,
HLPK,Hameenlinnan Lentopallokerho,1,,,,
KIMMO,Kimmo,1,,,,
SOPA,Someron Pallo,1,,,,
FIN,Finnland,1,,,,